,Document,AnswerType,Label,Value
130,17,Gold,ORG,Cisco
131,17,Gold,LOC,Bangalore
132,17,Gold,ORG,Cisco
133,17,Gold,PER,Dinesh Reddy
134,18,Gold,LOC,Delhi
135,18,Gold,LOC,Delhi
136,18,Gold,ORG,"Crescent Public School -  New Delhi, Delhi"
137,18,Gold,LOC,Delhi
138,18,Gold,LOC,Delhi
139,18,Gold,ORG,"Crescent Public School -  New Delhi, Delhi"
140,18,Gold,ORG,"Bharati Vidyapeeth University -  Pune, Maharashtra
"
141,18,Gold,ORG,"Punjab Technical University -  Chandigarh, Chandigarh
"
142,18,Gold,LOC,Delhi
143,18,Gold,LOC,Delhi
144,18,Gold,PER,Dipesh Gulati
145,19,Gold,ORG,Saurashtra University
146,19,Gold,ORG,Microsoft 
147,19,Gold,ORG,Microsoft 
148,19,Gold,ORG,Microsoft 
149,19,Gold,ORG,Microsoft 
150,19,Gold,ORG,Microsoft 
151,19,Gold,ORG,Microsoft 
152,19,Gold,ORG,Microsoft 
153,19,Gold,ORG,Microsoft 
154,19,Gold,ORG,Microsoft 
155,19,Gold,ORG,Microsoft 
156,19,Gold,ORG,Microsoft 
157,19,Gold,LOC,"Indeed: indeed.com/r/Dushyant-
Bhatt/140749dace5dc26f"
158,19,Gold,LOC,Hyderabad
159,19,Gold,PER,Dushyant Bhatt
160,20,Gold,ORG,Oracle
161,20,Gold,ORG,Oracle
162,20,Gold,ORG,Oracle
163,20,Gold,ORG,Oracle
164,20,Gold,ORG,Adithya Institute of Technology
165,20,Gold,ORG,Oracle
166,20,Gold,ORG,Oracle
167,20,Gold,ORG,Oracle
168,20,Gold,ORG,Cloud Lending Solutions
169,20,Gold,ORG,Oracle
170,20,Gold,ORG,Oracle
171,20,Gold,ORG,Cloud Lending Solutions
172,20,Gold,LOC,Bengaluru
173,20,Gold,PER,Govardhana K
174,21,Gold,ORG,Oracle
175,21,Gold,ORG,Oracle
176,21,Gold,ORG,Oracle
177,21,Gold,ORG,"
Osmania University
"
178,21,Gold,ORG,"
Osmania University
"
179,21,Gold,ORG,Oracle
180,21,Gold,LOC,Hyderabad
181,21,Gold,ORG,Oracle
182,21,Gold,LOC,Hyderabad
183,21,Gold,LOC,Hyderabad
184,21,Gold,LOC,Hyderabad
185,21,Gold,LOC,Hyderabad
186,21,Gold,ORG,Oracle
187,21,Gold,ORG,Oracle
188,21,Gold,LOC,Hyderabad
189,21,Gold,LOC,Hyderabad
190,21,Gold,ORG,Oracle
191,21,Gold,PER,Harini Komaravelli
192,22,Gold,ORG,"Manipal University
"
193,22,Gold,ORG,"Manipal University
"
194,22,Gold,LOC,Bengaluru
195,22,Gold,LOC,Bengaluru
196,22,Gold,ORG,"Oracle Retail
"
197,22,Gold,PER,Hartej Kathuria
198,23,Gold,ORG,University College Of Engineering
199,23,Gold,ORG,Birla Institute Of Technology 
200,23,Gold,ORG,Oracle Corporation
201,23,Gold,ORG,Oracle Corporation
202,23,Gold,ORG,Oracle Corporation
203,23,Gold,ORG,"State Street
"
204,23,Gold,ORG,Oracle Corporation
205,23,Gold,LOC,Irinchayam B.O
206,23,Gold,ORG,"State Street
"
207,23,Gold,PER,Ijas Nizamuddin
208,24,Gold,ORG,Rashtriya Military School Bangalore
209,24,Gold,ORG,Rashtriya Military School Bangalore
210,24,Gold,LOC,Pune
211,24,Gold,ORG,Army institute of technology 
212,24,Gold,LOC,Pune
213,24,Gold,ORG,Oracle Financial Software Services
214,24,Gold,LOC,Pune
215,24,Gold,LOC,Pune
216,24,Gold,PER,Imgeeyaul Ansari
217,25,Gold,ORG,Acharya College Chembur
218,25,Gold,ORG,Saraswati College Of Engineering
219,25,Gold,ORG,NIIT 
220,25,Gold,LOC,Navi Mumbai
221,25,Gold,PER,Jay Madhavi
222,26,Gold,ORG,AG&SGS Intermediate College
223,26,Gold,ORG,Degree College
224,26,Gold,ORG,SAP FICO
225,26,Gold,ORG,SAP FICO
226,26,Gold,ORG,SAP FICO
227,26,Gold,ORG,SAP FICO
228,26,Gold,ORG,SAP FICO
229,26,Gold,LOC,Chennai
230,26,Gold,ORG,SAP FICO
231,26,Gold,PER,Jitendra Babu
232,27,Gold,ORG,Biju Patnaik University
233,27,Gold,ORG,Sap labs
234,27,Gold,ORG,Sap labs
235,27,Gold,LOC,Bengaluru
236,27,Gold,PER,Jyotirbindu Patnaik
237,28,Gold,ORG,"Hr. Sec. School
"
238,28,Gold,LOC,Rajapalaiyam
239,28,Gold,ORG,Tamil Nadu Board Of Education
240,28,Gold,ORG,Velammal Engineering College
241,28,Gold,ORG,Infosys Limited
242,28,Gold,ORG,Infosys Limited
243,28,Gold,LOC,Rajapalaiyam
244,28,Gold,ORG,"Infosys Limited
"
245,28,Gold,ORG,Infosys Limited
246,28,Gold,PER,Karthihayini C
247,29,Gold,ORG,Narsee Monjee Institute of Management Studies
248,29,Gold,LOC,Hyderabad
249,29,Gold,ORG,Microsoft India
250,29,Gold,LOC,Hyderabad
251,29,Gold,ORG,Microsoft India
252,29,Gold,LOC,Hyderabad
253,29,Gold,ORG,Microsoft India
254,29,Gold,ORG,Microsoft India
255,29,Gold,LOC,Hyderabad
256,29,Gold,ORG,Microsoft India
257,29,Gold,LOC,Hyderabad
258,29,Gold,ORG,Microsoft India
259,29,Gold,PER,Karthik GV
260,30,Gold,ORG,Lovely Public Sr. Sec. School
261,30,Gold,ORG,Lovely Public Sr. Sec. School
262,30,Gold,ORG,"Northern India engineering college, IP UNIVERSITY DELHI"
263,30,Gold,LOC,Delhi
264,30,Gold,LOC,Delhi
265,30,Gold,LOC,Delhi
266,30,Gold,ORG, Infosys Ltd
267,30,Gold,LOC,Delhi
268,30,Gold,LOC,Delhi
269,30,Gold,ORG, Infosys Ltd
270,30,Gold,PER,Kartik Sharma
271,31,Gold,ORG,Cisco
272,31,Gold,ORG,"rajasthan University
"
273,31,Gold,ORG,"Compucom Insitute of Information Technology
"
274,31,Gold,ORG,Cisco
275,31,Gold,ORG,Cisco
276,31,Gold,ORG,Cisco
277,31,Gold,ORG,Cisco
278,31,Gold,ORG,Cisco
279,31,Gold,LOC,Bengaluru
280,31,Gold,ORG,Cisco
281,31,Gold,ORG,Cisco
282,31,Gold,LOC,Bengaluru
283,31,Gold,ORG,Cisco
284,31,Gold,PER,Kasturika Borah
285,32,Gold,ORG,REiume Institute of road
286,32,Gold,ORG,"Infosys Limited
"
287,32,Gold,ORG,"Networking, Infosys Limited"
288,32,Gold,LOC,Salem
289,32,Gold,ORG,"Infosys Limited
"
290,32,Gold,PER,Kavitha K
291,33,Gold,ORG,Vidyodaya P.U. College
292,33,Gold,ORG,"Visvesvaraya Technological University
"
293,33,Gold,ORG,Srinivas Institute of Technology
294,33,Gold,ORG,Manipal Academy of Higher Education
295,33,Gold,ORG,"School Of Information Sciences
"
296,33,Gold,ORG,"Little Rock Indian School
"
297,33,Gold,LOC,Bengaluru
298,33,Gold,ORG,Accenture 
299,33,Gold,LOC,Bengaluru
300,33,Gold,PER,Kavya U.
301,34,Gold,ORG,"Silver Bells Public School -  Muzaffarnagar, Uttar Pradesh"
302,34,Gold,ORG,"Paratap Public School -  Karnal, Haryana"
303,34,Gold,ORG,MM University
304,34,Gold,ORG,SAP ABAP 
305,34,Gold,LOC,Noida
306,34,Gold,LOC,Noida
307,34,Gold,ORG,SAP ABAP 
308,34,Gold,LOC,Noida
309,34,Gold,PER,Khushboo Choudhary
310,35,Gold,ORG,SSVPS’s Late B. S. Deore College of Engineering
311,35,Gold,LOC,Thane
312,35,Gold,ORG,SAP -
313,35,Gold,LOC,Thane
314,35,Gold,PER,kimaya sonawane
315,36,Gold,ORG,Sister Nivedita School 
316,36,Gold,LOC,Hyderabad
317,36,Gold,ORG,Lovely Professional University
318,36,Gold,ORG,Infosys limited
319,36,Gold,LOC,Hyderabad
320,36,Gold,LOC,Hyderabad
321,36,Gold,ORG,Infosys limited
322,36,Gold,LOC,Hyderabad
323,36,Gold,PER,Koushik Katta
324,37,Gold,ORG,inDR N.G.P ARTS AND SCIENCE COLLEGE 
325,37,Gold,ORG,"
Cisco"
326,37,Gold,LOC,Erode
327,37,Gold,PER,Kowsick Somasundaram
328,38,Gold,LOC,Bengaluru
329,38,Gold,ORG, Infosys Limited
330,38,Gold,LOC,Bengaluru
331,38,Gold,LOC,Bengaluru
332,38,Gold,LOC,Bengaluru
333,38,Gold,ORG, Infosys Limited
334,38,Gold,PER,Lakshika Neelakshi
335,39,Gold,ORG,"Padmavani High School
"
336,39,Gold,ORG,Vani Jr college
337,39,Gold,ORG,Kuppam Engineering College
338,39,Gold,ORG,Infosys Limited
339,39,Gold,ORG,Infosys Limited
340,39,Gold,ORG,Infosys Limited
341,39,Gold,LOC,Anantapur
342,39,Gold,PER,Madas Peddaiah
343,40,Gold,ORG,"Rajah college
"
344,40,Gold,ORG,PES college
345,40,Gold,ORG,Cisco
346,40,Gold,ORG,Cisco
347,40,Gold,ORG,Wipro
348,40,Gold,ORG,Wipro
349,40,Gold,ORG,Cisco
350,40,Gold,ORG,Cisco
351,40,Gold,ORG,Wipro
352,40,Gold,LOC,Banglore
353,40,Gold,PER,Madhuri Sripathi
354,41,Gold,ORG,Oracle
355,41,Gold,ORG,Oracle
356,41,Gold,ORG,Oracle
357,41,Gold,ORG,Oracle
358,41,Gold,ORG,Oracle
359,41,Gold,ORG,Oracle
360,41,Gold,ORG,Oracle
361,41,Gold,ORG,Oracle
362,41,Gold,ORG,Oracle
363,41,Gold,ORG,Oracle
364,41,Gold,ORG,Oracle
365,41,Gold,ORG,Oracle
366,41,Gold,ORG,Vivekananda PU College
367,41,Gold,ORG,"Vivekananda Degree College, Bangalore
University"
368,41,Gold,LOC,Bengaluru
369,41,Gold,ORG,Oracle
370,41,Gold,ORG,Oracle
371,41,Gold,ORG,Oracle
372,41,Gold,ORG,Oracle
373,41,Gold,ORG,Oracle
374,41,Gold,ORG,Oracle
375,41,Gold,LOC,Bengaluru
376,41,Gold,PER,Mahesh Vijay
377,42,Gold,ORG,"Meghnad saha institute of technology
"
378,42,Gold,LOC,"Pune,"
379,42,Gold,LOC,"Pune,"
380,42,Gold,PER,Manisha Bharti
381,43,Gold,ORG,Accenture
382,43,Gold,ORG,"Canossa Convent School
"
383,43,Gold,ORG,"Canossa Convent Girls Inter College
"
384,43,Gold,ORG,Amity University 
385,43,Gold,ORG,Accenture
386,43,Gold,ORG,Accenture
387,43,Gold,LOC,Bengaluru
388,43,Gold,ORG,Accenture
389,43,Gold,LOC,Bengaluru
390,43,Gold,ORG,Accenture
391,43,Gold,LOC,Bengaluru
392,43,Gold,ORG,Accenture
393,43,Gold,PER,Manjari Singh
394,44,Gold,ORG,Rajiv Gandhi Institute of Technology
395,44,Gold,ORG,Al-Ameen PU College
396,44,Gold,LOC,Bengaluru
397,44,Gold,ORG,Visveswaraiah Technological University
398,44,Gold,ORG,Accenture
399,44,Gold,ORG,Accenture
400,44,Gold,LOC,"indeed.com/r/Mohamed-Ameen/
ba052bfa70e4c0b7
"
401,44,Gold,LOC,Bengaluru
402,44,Gold,PER,Mohamed Ameen
403,45,Gold,LOC,Gurgaon
404,45,Gold,ORG,KIIT college of Engg.
405,45,Gold,ORG,Microsoft
406,45,Gold,ORG,Microsoft
407,45,Gold,LOC,Gurgaon
408,45,Gold,PER,Mohini Gupta
409,46,Gold,LOC,Mangalore
410,46,Gold,LOC,Mangalore
411,46,Gold,LOC,Mangalore
412,46,Gold,ORG,Infosys
413,46,Gold,ORG,Infosys
414,46,Gold,ORG,Infosys
415,46,Gold,LOC,Mangalore
416,46,Gold,LOC,Mangalore
417,46,Gold,PER,Navas Koya
418,47,Gold,ORG,Guru Nanak English High School and Jr cllg
419,47,Gold,ORG,Vedanta College of management and information technology
420,47,Gold,LOC,Ulhasnagar
421,47,Gold,ORG,Accenture
422,47,Gold,LOC,Ulhasnagar
423,47,Gold,PER,Navjyot Singh Rathore
424,48,Gold,ORG,UPTU. India
425,48,Gold,ORG,SAP ABAP
426,48,Gold,ORG,SAP ABAP
427,48,Gold,LOC,Ghaziabad
428,48,Gold,ORG,SAP ABAP
429,48,Gold,PER,Nazish Alam
430,49,Gold,ORG,"Central India Institute
"
431,49,Gold,ORG,"Infosys Limited
"
432,49,Gold,PER,Nidhi Pandit
433,50,Gold,LOC,Bengaluru
434,50,Gold,ORG,IIIT
435,50,Gold,ORG,VIT
436,50,Gold,ORG,Infosys
437,50,Gold,ORG,Cisco
438,50,Gold,ORG,Cisco
439,50,Gold,LOC,Bengaluru
440,50,Gold,ORG,Cisco
441,50,Gold,ORG,Aggrigator
442,50,Gold,LOC,Bengaluru
443,50,Gold,ORG,Aggrigator
444,50,Gold,LOC,Bengaluru
445,50,Gold,PER,Nikhileshkumar Ikhar
446,51,Gold,ORG,Vijaya High School
447,51,Gold,ORG,Vijaya composite p.u. college
448,51,Gold,ORG,Vtu 
449,51,Gold,ORG,Oracle
450,51,Gold,ORG,Oracle
451,51,Gold,LOC,Bangalore Urban
452,51,Gold,PER,Nitin Tr
453,52,Gold,ORG,Institute of Road and Transport May
454,52,Gold,ORG,CISCO
455,52,Gold,ORG,CISCO
456,52,Gold,PER,Pradeeba V
457,53,Gold,ORG,Notre Dame Academy 
458,53,Gold,ORG,Vellore Institute of Technology 
459,53,Gold,LOC,Mangalore
460,53,Gold,ORG,Infosys Limited
461,53,Gold,LOC,Mangalore
462,53,Gold,ORG,Infosys Limited
463,53,Gold,LOC,Mangalore
464,53,Gold,ORG,Infosys Limited
465,53,Gold,PER,Prakriti Shaurya
466,54,Gold,ORG,Oracle
467,54,Gold,LOC,Hyderabad
468,54,Gold,LOC,Hyderabad
469,54,Gold,ORG,Annamacharya Institute of Technology
470,54,Gold,ORG,Oracle
471,54,Gold,ORG,Oracle
472,54,Gold,LOC,Hyderabad
473,54,Gold,ORG,Oracle
474,54,Gold,LOC,Hyderabad
475,54,Gold,ORG,Oracle
476,54,Gold,ORG,Oracle
477,54,Gold,ORG,Oracle
478,54,Gold,ORG,Oracle
479,54,Gold,LOC,Hyderabad
480,54,Gold,ORG,Annamacharya Institute of Technology
481,54,Gold,ORG,Oracle
482,54,Gold,LOC,Hyderabad
483,54,Gold,ORG,Oracle
484,54,Gold,ORG,Oracle
485,54,Gold,LOC,Hyderabad
486,54,Gold,ORG,Oracle
487,54,Gold,PER,PRASHANTH BADALA
488,55,Gold,ORG,Oracle
489,55,Gold,ORG,Oracle
490,55,Gold,ORG,Oracle
491,55,Gold,ORG,Oracle
492,55,Gold,ORG,Oracle
493,55,Gold,ORG,Visvesvaraya Technological University
494,55,Gold,ORG,Dayanand Sagar College of Engineering
495,55,Gold,ORG,Visvesvaraya Technological University
496,55,Gold,ORG,Oracle
497,55,Gold,ORG,Oracle
498,55,Gold,ORG,Oracle
499,55,Gold,ORG,Oracle
500,55,Gold,ORG,Oracle
501,55,Gold,ORG,Oracle
502,55,Gold,ORG,Oracle
503,55,Gold,ORG,Oracle
504,55,Gold,ORG,Oracle
505,55,Gold,ORG,Oracle
506,55,Gold,ORG,Oracle
507,55,Gold,ORG,Oracle
508,55,Gold,ORG,Oracle
509,55,Gold,ORG,Oracle
510,55,Gold,ORG,Oracle
511,55,Gold,ORG,Oracle
512,55,Gold,ORG,Oracle
513,55,Gold,ORG,Oracle
514,55,Gold,ORG,Oracle
515,55,Gold,ORG,Oracle
516,55,Gold,LOC,Bengaluru
517,55,Gold,ORG,Oracle
518,55,Gold,PER,Pratibha P
519,56,Gold,ORG,SAP
520,56,Gold,ORG,SAP
521,56,Gold,ORG,SAP
522,56,Gold,ORG,SAP
523,56,Gold,ORG,SAP
524,56,Gold,ORG,SAP
525,56,Gold,ORG,SAP
526,56,Gold,ORG,SAP
527,56,Gold,LOC,Dewas
528,56,Gold,ORG,SAP
529,56,Gold,ORG,SAP
530,56,Gold,ORG,SAP
531,56,Gold,LOC,Dewas
532,56,Gold,ORG,SAP
533,56,Gold,PER,Prem Koshti
534,57,Gold,ORG,Cisco
535,57,Gold,ORG,Cisco
536,57,Gold,ORG,Aptech Institute of Technology
537,57,Gold,ORG,Aptech Institute of Technology
538,57,Gold,ORG,"Karnataka State University
"
539,57,Gold,ORG,"IGNOU
"
540,57,Gold,ORG,Cisco
541,57,Gold,ORG,Cisco
542,57,Gold,ORG,Cisco
543,57,Gold,ORG,Cisco
544,57,Gold,LOC,New Delhi
545,57,Gold,PER,Pulkit Saxena
546,58,Gold,ORG,"North Maharashtra University
"
547,58,Gold,ORG,Oracle India Pvt Ltd
548,58,Gold,LOC,Bengaluru
549,58,Gold,PER,Puneet Singh
550,59,Gold,ORG,Vaughn College of Aeronautics and Technology
551,59,Gold,ORG,Microsoft
552,59,Gold,ORG,"HCL Technologies -
"
553,59,Gold,LOC,Hyderabad
554,59,Gold,ORG,"Disney
"
555,59,Gold,PER,Rahul Bollu
556,60,Gold,ORG,"Infosys -  Pune, Maharashtra -
"
557,60,Gold,ORG,Infosys Limited
558,60,Gold,LOC,Bengaluru
559,60,Gold,ORG,Infosys/Offshore Lead
560,60,Gold,PER,Rajeev Kumar
561,61,Gold,ORG,Nagarjuna University
562,61,Gold,ORG,"Texas A&M University -  Kingsville, TX
"
563,61,Gold,ORG,Oracle Inc
564,61,Gold,ORG,Oracle Inc
565,61,Gold,ORG,Oracle Inc
566,61,Gold,ORG,Oracle Inc
567,61,Gold,ORG,Oracle Inc
568,61,Gold,ORG,Oracle Inc
569,61,Gold,ORG,Oracle Inc
570,61,Gold,ORG,Oracle Inc
571,61,Gold,ORG,Oracle Inc
572,61,Gold,ORG,Oracle Inc
573,61,Gold,PER,Ram Edupuganti
574,62,Gold,ORG,Govt Science College
575,62,Gold,ORG,Dayananda Sagar College of Engineering
576,62,Gold,ORG,SAP ARIBA 
577,62,Gold,LOC,Bangalore
578,62,Gold,PER,Ramesh HP
579,63,Gold,ORG,Accenture
580,63,Gold,ORG,pragathi high school
581,63,Gold,ORG,narayana jr.college
582,63,Gold,ORG,vasundhara womens
583,63,Gold,LOC,Hyderabad
584,63,Gold,ORG,Accenture
585,63,Gold,ORG,Accenture
586,63,Gold,ORG,Accenture
587,63,Gold,LOC,Hyderabad
588,63,Gold,PER,Ramya. P
589,64,Gold,ORG,SAP EWM
590,64,Gold,ORG,Anna University
591,64,Gold,ORG,Anna University
592,64,Gold,ORG,SAP EWM
593,64,Gold,ORG,SAP EWM
594,64,Gold,ORG,SAP EWM
595,64,Gold,ORG,SAP EWM
596,64,Gold,LOC,Bangalore
597,64,Gold,ORG,SAP EWM
598,64,Gold,PER,R Arunravi
599,65,Gold,ORG,Microsoft
600,65,Gold,ORG,Microsoft
601,65,Gold,ORG,Microsoft
602,65,Gold,ORG,Microsoft
603,65,Gold,ORG,Microsoft
604,65,Gold,ORG,Microsoft
605,65,Gold,ORG,Microsoft
606,65,Gold,ORG,Microsoft
607,65,Gold,ORG,Microsoft
608,65,Gold,ORG,Microsoft
609,65,Gold,ORG,Microsoft
610,65,Gold,ORG,Pune University
611,65,Gold,ORG,Microsoft
612,65,Gold,ORG,Microsoft
613,65,Gold,ORG,Microsoft
614,65,Gold,ORG,Microsoft
615,65,Gold,LOC,Pune
616,65,Gold,LOC,Pune
617,65,Gold,ORG,Microsoft
618,65,Gold,ORG,Microsoft
619,65,Gold,LOC,Pune
620,65,Gold,LOC,Pune
621,65,Gold,LOC,Pune
622,65,Gold,ORG,Microsoft
623,65,Gold,LOC,Pune
624,65,Gold,ORG,Microsoft
625,65,Gold,PER,Ravi Shankar
626,66,Gold,LOC,Bidar
627,66,Gold,LOC,Bidar
628,66,Gold,ORG,Govt. High school Yernalli
629,66,Gold,ORG,SAP 
630,66,Gold,LOC,Bidar
631,66,Gold,PER,Ravi Shivgond
632,67,Gold,ORG,ITM University Gwalior
633,67,Gold,ORG,INFOSYS LIMITED
634,67,Gold,ORG,INFOSYS LIMITED
635,67,Gold,LOC,Itarsi
636,67,Gold,ORG,INFOSYS LIMITED
637,67,Gold,PER,Rohit Bijlani
638,68,Gold,ORG,Anna University Chennai 
639,68,Gold,LOC,Kolkata
640,68,Gold,ORG,SAP ABAP
641,68,Gold,LOC,Kolkata
642,68,Gold,ORG,SAP ABAP
643,68,Gold,LOC,Kolkata
644,68,Gold,ORG,SAP ABAP
645,68,Gold,ORG,SAP ABAP
646,68,Gold,LOC,Kolkata
647,68,Gold,ORG,SAP ABAP
648,68,Gold,LOC,Kolkata
649,68,Gold,ORG,SAP ABAP
650,68,Gold,LOC,Kolkata
651,68,Gold,ORG,SAP ABAP
652,68,Gold,ORG,SAP ABAP
653,68,Gold,LOC,Kolkata
654,68,Gold,ORG,SAP ABAP
655,68,Gold,LOC,Kolkata
656,68,Gold,ORG,SAP ABAP
657,68,Gold,LOC,Kolkata
658,68,Gold,LOC,Kolkata
659,68,Gold,ORG,SAP ABAP
660,68,Gold,PER,Roshan Sinha
661,69,Gold,ORG,CDAC Mohali 
662,69,Gold,ORG,CDAC
663,69,Gold,ORG,"Punjab Technical University
"
664,69,Gold,ORG,Punjab Technical University (PTU)
665,69,Gold,ORG,CDAC
666,69,Gold,ORG,ORACLE -
667,69,Gold,ORG,ORACLE -
668,69,Gold,ORG,ORACLE -
669,69,Gold,LOC,Pune
670,69,Gold,ORG,Sasken Technologies Pvt. Ltd -  
671,69,Gold,PER,Sai Dhir
672,70,Gold,ORG,Amrita School of Engineering
673,70,Gold,ORG,Arrow Electronics Inc
674,70,Gold,ORG,Cisco Systems
675,70,Gold,ORG,Cisco Systems
676,70,Gold,ORG,Cisco Systems
677,70,Gold,ORG,Cisco Systems
678,70,Gold,ORG,Cisco Systems
679,70,Gold,ORG,Cisco Systems
680,70,Gold,LOC,Hyderabad
681,70,Gold,ORG,Cisco Systems
682,70,Gold,PER,Sai Patha
683,71,Gold,ORG,Adhiparasakthi Engineering College (Anna University)
684,71,Gold,LOC,Chennai
685,71,Gold,ORG,Great Lakes Institute Of Management
686,71,Gold,ORG,Infosys Limited
687,71,Gold,ORG,Infosys Limited
688,71,Gold,ORG,Infosys Limited
689,71,Gold,LOC,Chennai
690,71,Gold,LOC,Chennai
691,71,Gold,ORG,Infosys Limited
692,71,Gold,PER,Sai Vivek Venkatraman
693,72,Gold,ORG,"VSSUT,burla
"
694,72,Gold,ORG,Microsoft
695,72,Gold,LOC,Orrisha 
696,72,Gold,PER,Sameer Kujur
697,73,Gold,ORG,Mount Carmel Institute of Management
698,73,Gold,LOC,Bangalore
